A00-01-01;Colera
H17-07-03;Cicatrici ed opacita'' corneali
H18-07-03;Altri disturbi della cornea
H19-07-03;Disturbi della sclera e della cornea in malattie classificate altrove
H20-07-03;Iridociclite
H21-07-03;Altri disturbi dell''iride e del corpo ciliare
H22-07-03;Disturbi dell''iride e del corpo ciliare in malattie classificate altrove
H25-07-04;Cataratta senile
H26-07-04;Altra cataratta
H27-07-04;Altri disturbi del cristallino
H28-07-04;Cataratta ed altri disturbi del cristallino in malattie classificate altrove
H30-07-05;Infiammazione corioretinica
H31-07-05;Altri disturbi della coroide
H32-07-05;Disturbi corioretinici in malattie classificate altrove
H33-07-05;Distacchi e rotture di retina
H34-07-05;Occlusioni vascolari retiniche
H35-07-05;Altri disturbi retinici
H36-07-05;Disturbi retinici in malattie classificate altrove
H40-07-06;Glaucoma
H42-07-06;Glaucoma in malattie classificate altrove
H43-07-07;Disturbi del corpo vitreo
H44-07-07;Disturbi del globo oculare
H45-07-07;Disturbi del corpo vitreo e del globo oculare in malattie classificate altrove
H46-07-08;Neurite ottica
H47-07-08;Altri disturbi del nervo ottico (II nervo cranico) e delle vie ottiche
H48-07-08;Disturbi del nervo ottico (II nervo cranico) e delle vie ottiche in malattie classificate altrove
H49-07-09;Strabismo paralitico
H50-07-09;Altro strabismo
H51-07-09;Altri disturbi dei movimenti binoculari
H52-07-09;Vizi di rifrazione e disturbi di accomodazione
H53-07-10;Disturbi visivi
H54-07-10;Cecita'' e ipovisione
H55-07-11;Nistagmo ed altri movimenti irregolari degli occhi
H57-07-11;Altri disturbi dell''occhio e degli annessi oculari
H58-07-11;Altri disturbi dell''occhio e degli annessi oculari in malattie classificate altrove
H59-07-11;Disturbi post iatrogeni dell''occhio e degli annessi non classificati altrove
H60-08-01;Otite esterna
H61-08-01;Altri disturbi dell''orecchio esterno
H62-08-01;Disturbi dell''orecchio esterno in malattie classificate altrove
H65-08-02;Otite media non suppurativa
H66-08-02;Otite media suppurativa e non specificata
H67-08-02;Otite media in malattie classificate altrove
H68-08-02;Infiammazione e ostruzione di tuba di Eustachio
H69-08-02;Altri disturbi di tuba di Eustachio
H70-08-02;Mastoidite e condizioni morbose correlate
H71-08-02;Colesteatoma dell''orecchio medio
H72-08-02;Perforazione della membrana timpanica
H73-08-02;Altri disturbi della membrana timpanica
H74-08-02;Altri disturbi dell''orecchio medio e della mastoide
H75-08-02;Altri disturbi dell''orecchio medio e della mastoide in malattie classificate altrove
H80-08-03;Otosclerosi
H81-08-03;Disturbi della funzione vestibolare
H82-08-03;Sindromi vertiginose in malattie classificate altrove
H83-08-03;Altre malattie dell''orecchio interno
H90-08-04;Sordita'' da difetto di trasmissione e/o neurosensoriale
H91-08-04;Altra perdita uditiva
H92-08-04;Otalgia e secrezione auricolare
H93-08-04;Altri disturbi dell''orecchio non classificati altrove
H94-08-04;Altri disturbi dell''orecchio in malattie classificate altrove
H95-08-04;Disturbi iatrogeni dell''orecchio e dell''apofisi mastoide non classificati altrove
I00-09-01;Reumatismo articolare acuto senza menzione di interessamento cardiaco
I01-09-01;Reumatismo articolare acuto con interessamento cardiaco
I02-09-01;Corea reumatica
I05-09-02;Malattie reumatiche della valvola mitralica
I06-09-02;Malattie reumatiche della valvola aortica
I07-09-02;Malattie reumatiche della valvola tricuspide
I08-09-02;Malattie valvolari multiple
I09-09-02;Altre cardiopatie reumatiche
I10-09-03;Ipertensione essenziale (primitiva)
I11-09-03;Cardiopatia ipertensiva
I12-09-03;Malattia renale ipertensiva
I13-09-03;Malattia ipertensiva cardiaca e renale
I15-09-03;Ipertensione secondaria
I20-09-04;Angina pectoris
I21-09-04;Infarto miocardico acuto
I22-09-04;Infarto miocardico recidivante
I23-09-04;Alcune complicanze in atto susseguenti ad infarto miocardico acuto
I24-09-04;Altre cardiopatie ischemiche acute
I25-09-04;Cardiopatia ischemica cronica
I26-09-05;Embolia polmonare
I27-09-05;Altre forme di cuore polmonare
I28-09-05;Altre malattie di vasi polmonari
I30-09-06;Pericardite acuta
I31-09-06;Altre malattie del pericardio
I32-09-06;Pericardite in malattie classificate altrove
I33-09-06;Endocardite acuta e subacuta
I34-09-06;Disturbi non reumatici della valvola mitralica
I35-09-06;Disturbi non reumatici della valvola aortica
I36-09-06;Disturbi non reumatici della (valvola) tricuspide
I37-09-06;Disturbi della (valvola) polmonare
I38-09-06;Endocardite, valvola non specificata
I39-09-06;Endocardite e valvulopatie cardiache in malattie classificate altrove
I40-09-06;Miocardite acuta
I41-09-06;Miocardite in malattie classificate altrove
I42-09-06;Cardiomiopatia
I43-09-06;Cardiomiopatia in malattie classificate altrove
I44-09-06;Blocco atrioventricolare e blocco di branca sinistra
I45-09-06;Altri disturbi di conduzione
I46-09-06;Arresto cardiaco
I47-09-06;Tachicardia parossistica
I48-09-06;Fibrillazione e flutter atriali
I49-09-06;Altre aritmie cardiache
I50-09-06;Insufficienza cardiaca
I51-09-06;Complicanze di cardiopatie e malattie cardiache mal definite
I52-09-06;Altri disturbi cardiaci in malattie classificate altrove
I60-09-07;Emorragia subaracnoidea
I61-09-07;Emorragia intracerebrale
I62-09-07;Altre emorragie intracraniche non traumatiche
I63-09-07;Infarto cerebrale
I64-09-07;Accidente cerebrovascolare non specificato se da emorragia o da infarto
I65-09-07;Occlusione e stenosi di arterie precerebrali, senza esiti in infarto cerebrale
I66-09-07;Occlusione e stenosi di arterie cerebrali, senza esiti in infarto cerebrale
I67-09-07;Altre malattie cerebrovascolari
I68-09-07;Disturbi cerebrovascolari in malattie classificate altrove
I69-09-07;Sequele di malattia cerebrovascolare
I70-09-08;Aterosclerosi
I71-09-08;Aneurisma e dissezione dell''aorta
I72-09-08;Altro aneurisma
I73-09-08;Altre malattie vascolari periferiche
I74-09-08;Embolia e trombosi arteriose
I77-09-08;Altri disturbi di arterie e arteriole
I78-09-08;Malattie dei capillari
I79-09-08;Disturbi delle arterie, delle arteriole e dei capillari in malattie classificate altrove
I80-09-09;Flebite e tromboflebite
I81-09-09;Trombosi della vena porta
I82-09-09;Altre forme di embolia e trombosi venose
I83-09-09;Varici (venose) degli arti inferiori
I84-09-09;Emorroidi
I85-09-09;Varici esofagee
I86-09-09;Varici (venose) di altre sedi
I87-09-09;Altri disturbi delle vene
I88-09-09;Linfadenite non specifica
I89-09-09;Altri disturbi non infettivi dei vasi linfatici e dei linfonodi
I95-09-10;Ipotensione
I97-09-10;Disturbi del sistema circolatorio successivi a procedure diagnostiche o terapeutiche, non classificati altrove
I98-09-10;Altri disturbi del sistema circolatorio in malattie classificate altrove
I99-09-10;Altri e non specificati disturbi del sistema circolatorio
J00-10-01;Rinofaringite acuta (raffreddore comune)
J01-10-01;Sinusite acuta
J02-10-01;Faringite acuta
J03-10-01;Tonsillite acuta
J04-10-01;Laringite e tracheite acute
J05-10-01;Laringite ostruttiva acuta (croup) e epiglottite
J06-10-01;Infezioni acute di sedi multiple e non specificate delle alte vie respiratorie
J10-10-02;Influenza, virus dell’influenza identificato
J11-10-02;Influenza, virus non identificato
J12-10-02;Polmonite virale non classificata altrove
J13-10-02;Polmonite da Streptococcus pneumoniae
J14-10-02;Polmonite da Haemophilus influenzae
J15-10-02;Polmonite batterica non classificata altrove
J16-10-02;Polmonite da altri microorganismi infettivi non classificata altrove
J17-10-02;Polmonite in malattie classificate altrove
J18-10-02;Polmonite da microorganismo non specificato
J20-10-03;Bronchite acuta
J21-10-03;Bronchiolite acuta
J22-10-03;Infezione acuta delle basse vie respiratorie non specificata
J30-10-04;Rinite allergica e vasomotoria
J31-10-04;Rinite, rinofaringite e faringite croniche
J32-10-04;Sinusite cronica
J33-10-04;Polipo nasale
J34-10-04;Altri disturbi del naso e dei seni paranasali
J35-10-04;Malattie croniche delle tonsille e delle adenoidi
J36-10-04;Ascesso peritonsillare
J37-10-04;Laringite e laringotracheite croniche
J38-10-04;Malattie delle corde vocali e della laringe non classificate altrove
J39-10-04;Altre malattie delle alte vie respiratorie
J40-10-05;Bronchite non specificata come acuta o cronica
J41-10-05;Bronchite cronica semplice e mucopurulenta
J42-10-05;Bronchite cronica non specificata
J43-10-05;Enfisema
J44-10-05;Altre pneumopatie ostruttive croniche
J45-10-05;Asma
J46-10-05;Stato di male asmatico
J47-10-05;Bronchiolectasia
J60-10-06;Pneumoconiosi dei lavoratori del carbone
J61-10-06;Pneumoconiosi da asbesto (amianto) ed altre fibre minerali
J62-10-06;Pneumoconiosi da polveri contenenti silice
J63-10-06;Pneumoconiosi da altre polveri inorganiche
J64-10-06;Pneumoconiosi non specificata
J65-10-06;Pneumoconiosi associata a tubercolosi
J66-10-06;Malattie delle vie aeree causate da polveri organiche specifiche
J67-10-06;Polmonite da ipersensibilita'' a polveri organiche
J68-10-06;Condizioni morbose respiratorie da inalazione di sostanze chimiche, gas, fumi e 
J69-10-06;Polmoniti da sostanze solide o liquide
J70-10-06;Condizioni morbose respiratorie da altri agenti esterni
J80-10-07;Sindrome di sofferenza (distress) respiratoria(o) dell’adulto (ARDS)
J81-10-07;Edema polmonare
J82-10-07;Eosinofilia polmonare non classificata altrove
J84-10-07;Altre pneumopatie interstiziali
J85-10-08;Ascesso del polmone e del mediastino
J86-10-08;Piotorace
J90-10-09;Versamento pleurico non classificato altrove
J91-10-09;Versamento pleurico in condizioni morbose classificate altrove
J92-10-09;Placca pleurica
J93-10-09;Pneumotorace
J94-10-09;Altre condizioni morbose della pleura
J95-10-10;Disturbi respiratori iatrogeni non classificati altrove
J96-10-10;Insufficienza respiratoria non classificata altrove
J98-10-10;Altri disturbi respiratori
J99-10-10;Disturbi respiratori in malattie classificate altrove
K00-11-01;Disturbi dello sviluppo e dell’eruzione dei denti
K01-11-01;Denti inclusi ed ritenuti
K02-11-01;Carie dentaria
K03-11-01;Altre malattie dei tessuti duri dei denti
K04-11-01;Malattie della polpa e dei tessuti periapicali
K05-11-01;Gengiviti e periodontopatie
K06-11-01;Altri disturbi della gengiva e della cresta alveolare edentula
K07-11-01;Anomalie odontofacciali (compresa la malocclusione)
K08-11-01;Altri disturbi dei denti e delle loro strutture di sostegno
K09-11-01;Cisti della regione orale non classificate altrove
K10-11-01;Altre malattie dei mascellari
K11-11-01;Malattie delle ghiandole salivari
K12-11-01;Stomatiti e lesioni correlate
K13-11-01;Altre malattie delle labbra e della mucosa orale
K14-11-01;Malattie della lingua
K20-11-02;Esofagite
K21-11-02;Malattia da reflusso gastroesofageo
K22-11-02;Altre malattie dell''esofago
K23-11-02;Disturbi dell''esofago in malattie classificate altrove
K25-11-02;Ulcera gastrica
K26-11-02;Ulcera duodenale
K27-11-02;Ulcera peptica di sede non specificata
K28-11-02;Ulcera gastrodigiunale
K29-11-02;Gastrite e duodenite
K30-11-02;Dispepsia
K31-11-02;Altre malattie dello stomaco e del duodeno
K35-11-03;Appendicite acuta
K36-11-03;Altre forme di appendicite
K37-11-03;Appendicite non specificata
K38-11-03;Altre malattie dell''appendice
K40-11-04;Ernia inguinale
K41-11-04;Ernia femorale
K42-11-04;Ernia ombelicale
K43-11-04;Ernia addominale
K44-11-04;Ernia diaframmatica
K45-11-04;Altre ernie addominali
K46-11-04;Ernia addominale non specificata
K50-11-05;Morbo di Crohn (enterite regionale)
K51-11-05;Colite ulcerosa
K52-11-05;Altre gastroenteriti e coliti non infettive
K55-11-06;Disturbi vascolari dell''intestino
K56-11-06;Ileo paralitico ed ostruzione intestinale senza ernia
K57-11-06;Malattia diverticolare dell''intestino
K58-11-06;Sindrome dell''intestino irritabile
K59-11-06;Altri disturbi intestinali di tipo funzionale
K60-11-06;Ragade e fistola delle regioni anale e rettale
K61-11-06;Ascesso delle regioni anale e rettale
K62-11-06;Altre malattie dell''ano e del retto
K63-11-06;Altre malattie dell''intestino
K65-11-07;Peritonite
K66-11-07;Altri disturbi del peritoneo
K67-11-07;Disturbi del peritoneo in malattie infettive classificate altrove
K70-11-08;Epatopatia alcolica
K71-11-08;Epatopatia tossica
K72-11-08;Insufficienza epatica non classificata altrove
K73-11-08;Epatite cronica non classificata altrove
K74-11-08;Fibrosi e cirrosi epatica
K75-11-08;Altre malattie infiammatorie del fegato
K76-11-08;Altre malattie del fegato
K77-11-08;Disturbi epatici in malattie classificate altrove
K80-11-09;Colelitiasi
K81-11-09;Colecistite
K82-11-09;Altre malattie della colecisti
K83-11-09;Altre malattie delle vie biliari
K85-11-09;Pancreatite acuta
K86-11-09;Altre malattie del pancreas
K87-11-09;Disturbi della colecisti, delle vie biliari e del pancreas in malattie classificate altrove
K90-11-10;Malassorbimento intestinale
K91-11-10;Disturbi iatrogeni dell''apparato digerente non classificati altrove
K92-11-10;Altre malattie dell''apparato digerente
K93-11-10;Disturbi di altri organi dell''apparato digerente in malattie classificate altrove
L00-12-01;Dermatite esfoliativa infantile (stafilococcica)
L01-12-01;Impetigine
L02-12-01;Ascesso cutaneo, foruncolo e favo
L03-12-01;Cellulite
L04-12-01;Linfadenite acuta
L05-12-01;Cisti pilonidale
L08-12-01;Altre infezioni locali della cute e del tessuto sottocutaneo
L10-12-02;Pemfigo
L11-12-02;Altri disturbi acantolitici
L12-12-02;Pemfigoide
L13-12-02;Altre malattie bollose
L14-12-02;Malattie bollose in malattie classificate altrove
L20-12-03;Dermatite atopica
L21-12-03;Dermatite seborroica
L22-12-03;Dermatite da pannolino
L23-12-03;Dermatite allergica da contatto
L24-12-03;Dermatite irritativa da contatto
L25-12-03;Dermatite da contatto non specificata
L26-12-03;Dermatite esfoliativa
L27-12-03;Dermatite da assunzione interna (orale, enterica o parenterale) di sostanze
L28-12-03;Lichen simplex chronicus e prurigo
L29-12-03;Prurito
L30-12-03;Altre dermatiti
L40-12-04;Psoriasi
L41-12-04;Parapsoriasi
L42-12-04;Pitiriasi rosea
L43-12-04;Lichen planus
L44-12-04;Altri disturbi papulosquamosi
L45-12-04;Disturbi papulosquamosi in malattie classificate altrove
L50-12-05;Orticaria
L51-12-05;Eritema polimorfo
L52-12-05;Eritema nodoso
L53-12-05;Altre condizioni morbose eritematose
L54-12-05;Eritema in malattie classificate altrove
L55-12-06;Ustione solare
L56-12-06;Altre alterazioni acute della cute da radiazioni ultraviolette
L57-12-06;Alterazioni cutanee da esposizione cronica a radiazioni non ionizzanti
L58-12-06;Radiodermite
L59-12-06;Altri disturbi specificati della cute e del tessuto sottocutaneo da radiazioni
L60-12-07;Disturbi delle unghie
L62-12-07;Disturbi delle unghie in malattie classificate altrove
L63-12-07;Alopecia areata
L64-12-07;Alopecia androgenica
L65-12-07;Altra forma di perdita di capelli o peli non cicatriziale
L66-12-07;Alopecia cicatriziale (perdita di capelli o peli cicatriziale)
L67-12-07;Anormalita'' del colore e del fusto dei capelli o dei peli
L68-12-07;Ipertricosi
L70-12-07;Acne
L71-12-07;Rosacea
L72-12-07;Cisti follicolari della cute e del tessuto sottocutaneo
L73-12-07;Altri disturbi del follicolo pilifero
L74-12-07;Disturbi delle ghiandole sudoripare eccrine
L75-12-07;Disturbi delle ghiandole sudoripare apocrine
L80-12-08;Vitiligine
L81-12-08;Altri disturbi di pigmentazione
L82-12-08;Cheratosi seborroica
L83-12-08;Acanthosis nigricans
L84-12-08;Calli e callosita''
L85-12-08;Altre forme di ispessimento epidermico
L86-12-08;Cheratodermia in malattie classificate altrove
L87-12-08;Disturbi dell’eliminazione transepidermica
L88-12-08;Pioderma gangrenoso
L89-12-08;Ulcera da decubito
L90-12-08;Disturbi atrofici della cute
L91-12-08;Disturbi ipertrofici della cute
L92-12-08;Disturbi granulomatosi della cute e del tessuto sottocutaneo
L93-12-08;Lupus eritematoso
L94-12-08;Altri disturbi localizzati del tessuto connettivo
L95-12-08;Vasculite limitata alla cute, non classsificata altrove
L97-12-08;Ulcera di arto inferiore non classificata altrove
L98-12-08;Altri disturbi della cute e del tessuto sottocutaneo non classificati altrove
L99-12-08;Altri disturbi della cute e del tessuto sottocutaneo in malattie classificate altrove
M00-13-01;Artrite piogenica
M01-13-01;Infezioni dirette delle articolazioni in malattie infettive e parassitarie classificate altrove
M02-13-01;Artropatie reattive
M03-13-01;Artropatie post infettive e reattive in malattie classificate altrove
M05-13-02;Artrite reumatoide sieropositiva
M06-13-02;Altre artriti reumatoidi
M07-13-02;Artropatie psoriasiche ed enteropatiche
M08-13-02;Artrite giovanile
M09-13-02;Artrite giovanile in malattie classificate altrove
M10-13-02;Gotta
M11-13-02;Altre artropatie da microcristalli
M12-13-02;Altre artropatie specifiche
M13-13-02;Altre artriti
M14-13-02;Artropatie in altre malattie classificate altrove
M15-13-03;Poliartrosi
M16-13-03;Coxartrosi (artrosi dell’anca)
M17-13-03;Gonartrosi (artrosi del ginocchio)
M18-13-03;Artrosi della prima articolazione carpometacarpica
M19-13-03;Altre artrosi
M20-13-04;Deformazioni acquisite delle dita della mano e del piede
M21-13-04;Altre deformazioni acquisite degli arti
M22-13-04;Disturbi della rotula
M23-13-04;Lesione interna del ginocchio
M24-13-04;Altre lesioni articolari specifiche
M25-13-04;Altri disturbi articolari non classificati altrove
M30-13-05;Panarterite nodosa e condizioni morbose correlate
M31-13-05;Altre vasculopatie necrotizzanti
M32-13-05;Lupus eritematoso sistemico
M33-13-05;Dermatopolimiosite
M34-13-05;Sclerosi sistemica
M35-13-05;Altro interessamento sistemico del tessuto connettivo
M36-13-05;Disturbi sistemici del tessuto connettivo in malattie classificate altrove
M40-13-06;Cifosi e lordosi
M41-13-06;Scoliosi
M42-13-06;Osteocondrosi vertebrale
M43-13-06;Altre dorsopatie deformanti
M45-13-07;Spondilite anchilosante
M46-13-07;Altre spondilopatie infiammatorie
M47-13-07;Spondilosi
M48-13-07;Altre spondilopatie
M49-13-07;Spondilopatie in malattie classificate altrove
M50-13-08;Disturbi dei dischi intervertebrali cervicali
M51-13-08;Altri disturbi dei dischi intervertebrali
M53-13-08;Altre dorsopatie non classificate altrove
M54-13-08;Dorsalgia
M60-13-09;Miosite
M61-13-09;Calcificazione ed ossificazione dei muscoli
M62-13-09;Altri disturbi muscolari
M63-13-09;Disturbi muscolari in malattie classificate altrove
M65-13-10;Sinovite e tenosinovite
M66-13-10;Rottura spontanea delle sinovie e dei tendini
M67-13-10;Altri disturbi delle sinovie e dei tendini
M68-13-10;Disturbi delle sinovie e dei tendini in malattie classificate altrove
M70-13-11;Malattie dei tessuti molli correlati ad uso, uso eccessivo e pressione
M71-13-11;Altre borsopatie
M72-13-11;Disturbi fibroblastici
M73-13-11;Disturbi dei tessuti molli in malattie classificate altrove
M75-13-11;Lesioni della spalla
M76-13-11;Entesopatie dell’arto inferiore, escluso il piede
M77-13-11;Altre entesopatie
M79-13-11;Altri disturbi dei tessuti molli non classificati altrove
M80-13-12;Osteoporosi con frattura patologica
M81-13-12;Osteoporosi senza frattura patologica
M82-13-12;Osteoporosi in malattie classificate altrove
M83-13-12;Osteomalacia dell’adulto
M84-13-12;Disturbi di continuita'' di osso
M85-13-12;Altri disturbi della densita'' e della struttura delle ossa
M86-13-13;Osteomielite
M87-13-13;Osteonecrosi
M88-13-13;Malattia di Paget delle ossa (osteite deformante)
M89-13-13;Altri disturbi ossei
M90-13-13;Osteopatie in malattie classificate altrove
M91-13-14;Osteocondrosi giovanile dell’anca e della pelvi
M92-13-14;Altre osteocondrosi giovanili
M93-13-14;Altre osteocondropatie
M94-13-14;Altri disturbi della cartilagine
M95-13-15;Altre deformazioni acquisite del sistema osteomuscolare e del tessuto connettivo
M96-13-15;Disturbi osteomuscolari iatrogeni non classificati altrove
M99-13-15;Lesioni biomeccaniche non classificate altrove
N00-14-01;Sindrome nefritica acuta
N01-14-01;Sindrome nefritica rapidamente progressiva
N02-14-01;Ematuria ricorrente e persistente
N03-14-01;Sindrome nefritica cronica
N04-14-01;Sindrome nefrosica
N05-14-01;Sindrome nefritica non specificata
N06-14-01;Proteinuria isolata con lesione morfologica specificata
N07-14-01;Nefropatia ereditaria non classificata altrove
N08-14-01;Disturbi glomerulari in malattie classificate altrove
N10-14-02;Nefrite tubulo interstiziale acuta
N11-14-02;Nefrite cronica tubulo interstiziale
N12-14-02;Nefrite tubulo interstiziale non specificata se acuta o cronica
N13-14-02;Uropatia ostruttiva e da reflusso
N14-14-02;Condizioni morbose tubulari e tubulo interstiziali indotte da farmaci o metalli pesanti
N15-14-02;Altre malattie renali tubulo interstiziali
N16-14-02;Disturbi tubulo interstiziali renali in malattie classificate altrove
N17-14-03;Insufficienza renale acuta
N18-14-03;Insufficienza renale cronica
N19-14-03;Insufficienza renale non specificata
N20-14-04;Calcolosi del rene e dell’uretere
N21-14-04;Calcolo delle basse vie urinarie
N22-14-04;Calcolo delle vie urinarie in malattie classificate altrove
N23-14-04;Colica renale non specificata
N25-14-05;Disturbi risultanti da ridotta funzionalita'' dei tubuli renali
N26-14-05;Rene grinzo non specificato
N27-14-05;Rene piccolo da causa sconosciuta
N28-14-05;Altri disturbi del rene e dell’uretere non classificati altrove
N29-14-05;Altri disturbi del rene e dell’uretere in malattie classificate altrove
N30-14-06;Cistite
N31-14-06;Disfunzione neuromuscolare della vescica non classificata altrove
N32-14-06;Altri disturbi della vescica
N33-14-06;Disturbi della vescica in malattie classificate altrove
N34-14-06;Uretrite e sindrome uretrale
N35-14-06;Stenosi uretrale
N36-14-06;Altri disturbi dell’uretra
N37-14-06;Disturbi dell’uretra in malattie classificate altrove
N39-14-06;Altri disturbi dell’apparato urinario
N40-14-07;Iperplasia della prostata
N41-14-07;Malattie infiammatorie della prostata
N42-14-07;Altri disturbi della prostata
N43-14-07;Idrocele e spermatocele
N44-14-07;Torsione di testicolo
N45-14-07;Orchite ed epididimite
N46-14-07;Infertilita'' maschile
N47-14-07;Ipertrofia prepuziale, fimosi e parafimosi
N48-14-07;Altri disturbi del pene
N49-14-07;Disturbi infiammatori dell’apparato genitale maschile non classificati altrove
N50-14-07;Altri disturbi dell’apparato genitale maschile
N51-14-07;Disturbi di organi genitali maschili in malattie classificate altrove
N60-14-08;Displasia mammaria benigna
N61-14-08;Disturbi infiammatori della mammella
N62-14-08;Ipertrofia della mammella
N63-14-08;Nodulo della mammella non specificato
N64-14-08;Altri disturbi della mammella
N70-14-09;Salpingite e ooforite
N71-14-09;Malattia infiammatoria dell’utero, cervice esclusa
N72-14-09;Malattia infiammatoria della cervice uterina
N73-14-09;Altre malattie infiammatorie della pelvi femminile
N74-14-09;Disturbi infiammatori della pelvi femminile in malattie classificate altrove
N75-14-09;Malattie della ghiandola di Bartolino
N76-14-09;Altre infiammazioni della vagina e della vulva
N77-14-09;Ulcerazione ed infiammazione vulvovaginali in malattie classificate altrove
N80-14-10;Endometriosi
N81-14-10;Prolasso genitale femminile
N82-14-10;Fistole interessanti l’apparato genitale femminile
N83-14-10;Disturbi non infiammatori di ovaio, tube di Falloppio e legamento largo
N84-14-10;Polipo dell’apparato genitale femminile
N85-14-10;Altri disturbi non infiammatori dell’utero, esclusa la cervice uterina
N86-14-10;Erosione ed ectropion della cervice uterina
N87-14-10;Displasia della cervice dell’utero
N88-14-10;Altri disturbi non infiammatori della cervice dell’utero
N89-14-10;Altri disturbi non infiammatori della vagina
N90-14-10;Altri disturbi non infiammatori della vulva e del perineo
N91-14-10;Amenorrea, oligomenorrea ed ipomenorrea
N92-14-10;Menorragia, polimenorrea e metrorragia
N93-14-10;Altri sanguinamenti uterini e vaginali anormali
N94-14-10;Dolore e altre condizioni morbose associate agli organi genitali femminili o al ciclo mestruale
N95-14-10;Disturbi menopausali e perimenopausali
N96-14-10;Aborto ricorrente
N97-14-10;Infertilita'' femminile
N98-14-10;Complicanze associate a fecondazione artificiale
N99-14-11;Disturbi iatrogeni delle vie genitourinarie non classificate altrove
O00-15-01;Gravidanza ectopica
O01-15-01;Mola idatiforme
O02-15-01;Altri prodotti anormali del concepimento
O03-15-01;Aborto spontaneo
O04-15-01;Aborto per ragioni mediche e legali
O05-15-01;Altro tipo di aborto
O06-15-01;Aborto non specificato
O07-15-01;Tentativo fallito di aborto
O08-15-01;Complicanze successive ad aborto e a gravidanza ectopica o molare
O10-15-02;Ipertensione preesistente complicante la gravidanza, il parto e il puerperio
O11-15-02;Disturbo ipertensivo preesistente con proteinuria sovrapposta
O12-15-02;Edema e proteinuria gestazionali (indotte da gravidanza) senza ipertensione
O13-15-02;Ipertensione gestazionale (indotta da gravidanza) senza proteinuria significativa
O14-15-02;Ipertensione gestazionale (indotta da gravidanza) con proteinuria significativa
O15-15-02;Eclampsia
O16-15-02;Ipertensione materna non specificata
O20-15-03;Emorragia nella fase iniziale di gravidanza
O21-15-03;Iperemesi gravidica
O22-15-03;Complicanze venose in gravidanza
O23-15-03;Infezioni dell’apparato genitourinario in gravidanza
O24-15-03;Diabete mellito in gravidanza
O25-15-03;Malnutrizione in gravidanza
O26-15-03;Assistenza prestata alla madre per altre condizioni morbose connesse soprattutto alla gravidanza
O28-15-03;Risultati anormali riscontrati a screening prenatale della madre
O29-15-03;Complicanze di anestesia in gravidanza
O30-15-04;Gravidanza multipla
O31-15-04;Complicanze specifiche di gravidanza multipla
O32-15-04;Assistenza prestata alla madre per presentazione anomala del feto accertata o presunta
O33-15-04;Assistenza prestata alla madre per sproporzione accertata o presunta
O34-15-04;Assistenza prestata alla madre per anormalita'' accertata o presunta di organi pelvici
O35-15-04;Assistenza prestata alla madre per anormalita'' o lesioni fetali accertate o sospettate
O36-15-04;Assistenza prestata alla madre per altri problemi fetali accertati o presunti
O40-15-04;Polidramnio(s)
O41-15-04;Altri disturbi del liquido amniotico e delle membrane
O42-15-04;Rottura prematura delle membrane
O43-15-04;Disturbi placentari
O44-15-04;Placenta previa
O45-15-04;Distacco prematuro di placenta (abruptio placentae)
O46-15-04;Emorragia preparto non classificata altrove
O47-15-04;Falso travaglio di parto
O48-15-04;Gravidanza prolungata
O60-15-05;Parto pretermine
O61-15-05;Tentativo fallito di induzione del travaglio di parto
O62-15-05;Anomalie delle forze propulsive del travaglio di parto
O63-15-05;Travaglio di parto prolungato
O64-15-05;Distocia da posizione o presentazione anomala del feto
O65-15-05;Distocia da anomalia pelvica della madre
O66-15-05;Altra distocia
O67-15-05;Travaglio e parto complicati da emorragia intraparto non classificata altrove
O68-15-05;Travaglio e parto complicati da sofferenza (distress) fetale
O69-15-05;Travaglio e parto complicati da anomalie del cordone ombelicale
O70-15-05;Lacerazione perineale durante il parto
O71-15-05;Altri traumatismi ostetrici
O72-15-05;Emorragia postparto
O73-15-05;Ritenzione della placenta e delle membrane senza emorragia
O74-15-05;Complicanze di anestesia durante il travaglio e il parto
O75-15-05;Altre complicanze del travaglio e del parto non classificate altrove
O80-15-06;Parto singolo spontaneo
O81-15-06;Parto singolo con applicazione di forcipe e ventosa ostetrica
O82-15-06;Parto singolo con taglio cesareo
O83-15-06;Altro parto singolo assistito
O84-15-06;Parto multiplo
O85-15-07;Sepsi puerperale
O86-15-07;Altre infezioni puerperali
O87-15-07;Complicanze venose durante il puerperio
O88-15-07;Embolia ostetrica
O89-15-07;Complicanze di anestesia durante il puerperio
O90-15-07;Complicanze del puerperio non classificate altrove
O91-15-07;Infezioni della mammella associate al parto
O92-15-07;Altri disturbi della mammella e della lattazione associati al parto
O95-15-08;Morte ostetrica da causa non specificata
O96-15-08;Morte per qualsiasi causa ostetrica che avvenga a piu'' di 42 giorni, ma a meno di un anno, dopo il parto
O97-15-08;Morte per sequele di cause ostetriche dirette
O98-15-08;Malattie infettive e parassitarie materne classificabili altrove, ma complicanti la gravidanza, il parto ed il puerperio
O99-15-08;Altre malattie della madre, classificabili altrove, ma complicanti la gravidanza, il parto ed il puerperio
P00-16-01;Feto e neonato affetti da condizioni materne che possono non essere correlate alla gravidanza attuale
P01-16-01;Feto e neonato affetti da complicanze materne della gravidanza
P02-16-01;Feto e neonato affetti da complicanze della placenta, del cordone ombelicale e delle membrane
